nnodes,tembedding,tsolve,tqpu
5,0.113264799118,5.13543987274,0.199748
6,0.09752202034,10.2146630287,0.198683
7,0.117858886719,5.12474894524,0.199815
8,0.226117134094,5.08465695381,0.199243
9,0.312438964844,7.00113105774,0.198242
10,0.512799024582,4.68796110153,0.201614
11,0.489853858948,6.5037548542,0.199149
12,0.652776956558,10.3537018299,0.200655
13,0.885752916336,3.68984293938,0.201701
14,1.10218405724,5.88384819031,0.199202
15,1.33446002007,5.62298083305,0.19912
16,2.59896397591,12.6831629276,0.201239
17,2.1050992012,6.58692288399,0.201279
18,2.43274116516,4.47892403603,0.201533
19,2.13973379135,4.80543088913,0.19946
20,2.87084197998,6.45639204979,0.199676
21,3.62940692902,10.3759992123,0.199978
22,2.8368229866,6.11495995522,0.200504
23,3.92900514603,6.92666316032,0.202397
24,3.15557289124,5.52044296265,0.201682
25,4.23365187645,6.9153239727,0.200831
26,4.15852093697,5.30868887901,0.203659
27,6.21396994591,4.09702587128,0.202896
28,7.05319690704,8.29973483086,0.201481
29,5.57821679115,10.4994280338,0.20202
30,6.7101829052,5.19492983818,0.203414
31,10.8289320469,4.44191217422,0.244139
32,9.5649189949,11.8138301373,0.201685
33,7.66713500023,6.05272221565,0.201779
34,19.2636420727,5.0382630825,0.201803
35,7.47581505775,10.1743290424,0.201912
36,8.93828105927,8.18855404854,0.20154
37,10.2638449669,5.20538687706,0.204969
38,23.4432520866,8.48229980469,0.201867
39,15.5755600929,5.15831613541,0.202335
40,25.0780348778,7.37390017509,0.203125
41,33.4706099033,8.86954402924,0.205477
42,46.6944189072,12.5320429802,0.203185
43,106.961484909,4.3975071907,0.228605
44,46.2492930889,7.8877530098,0.203368
45,73.6568510532,9.64738488197,0.203634
