nnodes,tembedding,tsolve,tqpu
5,0.00856614112854,0.0204000473022,n/a
6,0.00710391998291,0.019816160202,n/a
7,0.00522589683533,0.0228521823883,n/a
8,0.0081479549408,0.0169739723206,n/a
9,0.0083281993866,0.0186450481415,n/a
10,0.0202000141144,0.0162501335144,n/a
11,0.00809192657471,0.0259680747986,n/a
12,0.0497949123383,0.0315239429474,n/a
13,0.0331659317017,0.0293810367584,n/a
14,0.0281929969788,0.0386071205139,n/a
15,0.0439348220825,0.0308661460876,n/a
16,0.0713520050049,0.0672972202301,n/a
17,0.107898950577,0.03133893013,n/a
18,0.103438138962,0.0335428714752,n/a
19,0.150562047958,0.0553729534149,n/a
20,0.126389026642,0.186436891556,n/a
21,0.0787019729614,0.0912959575653,n/a
22,0.306043148041,0.584822893143,n/a
23,0.143189907074,0.688610076904,n/a
24,0.151152133942,1.07970714569,n/a
25,0.74853682518,0.83470916748,n/a
26,2.50833201408,0.675412893295,n/a
