nnodes,tembedding,tsolve,tqpu
5,0.0643739700317,5.4925699234,0.200959
6,0.0516140460968,6.91410684586,0.200491
7,0.051680803299,8.50306582451,0.199723
8,0.0852289199829,8.5508878231,0.201482
9,0.135032892227,10.2099621296,0.198865
10,0.0537800788879,8.60642695427,0.198455
11,0.0912029743195,5.20731902122,0.198115
12,0.115122079849,6.91955709457,0.200601
13,0.124222040176,7.34054207802,0.199903
14,0.415587902069,4.93253898621,0.199861
15,0.266988992691,8.31893706322,0.200674
16,0.4569439888,4.82839202881,0.198598
17,0.74708199501,11.2485020161,0.201923
18,0.713823080063,4.59304094315,0.198366
19,0.886776924133,14.5086112022,0.201231
20,0.676446914673,4.61993288994,0.198964
21,0.776418924332,4.82838916779,0.198592
22,0.924091100693,4.31039214134,0.202188
23,1.00335097313,4.26550602913,0.199467
24,1.05370497704,7.80309510231,0.198833
25,1.6499080658,12.0632610321,0.200716
26,1.5512471199,3.80897593498,0.199921
27,1.44788599014,5.75953292847,0.199708
28,1.68421316147,4.94546699524,0.200333
29,3.08164596558,3.88566398621,0.201726
30,2.55186319351,7.68736886978,0.200515
31,4.01216292381,4.77908110619,0.200118
32,3.49582505226,11.0217051506,0.200019
33,4.2519159317,4.92445111275,0.200027
34,4.0445830822,6.3890850544,0.201117
35,5.28473496437,4.19725990295,0.203549
36,3.29016208649,5.30498886108,0.201224
37,3.15617012978,7.61083602905,0.200198
38,13.3441479206,14.1056909561,0.200983
39,7.77277421951,7.92445802689,0.203306
40,8.96189379692,6.51447486877,0.202393
41,9.28460693359,7.54139494896,0.202498
42,11.9457569122,13.4259231091,0.203398
43,12.4443938732,17.2135848999,0.203824
44,7.05675792694,8.41499400139,0.255982
45,12.010365963,5.71529006958,0.201833
46,8.21966218948,5.51729393005,0.204681
47,10.1963410378,5.29781317711,0.203088
48,9.1335940361,4.94489097595,0.277233
49,7.06555199623,5.07914996147,0.203762
50,52.6241340637,6.55386900902,0.20542
